Question,Response
"I heard you got a new job, how is it going?","If we push hard, we definitely can."
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can."
Why didn't you call me back last night?,"If we push hard, we definitely can."
Why didn't you call me back last night?,"Sure, let's go over the details."
Can we talk about that project now?,I'd say start with something like Spanish.
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress."
Why do you seem so distant these days?,I'd say start with something like Spanish.
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually."
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things."
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress."
What are your plans for the weekend?,"I'm not sure, maybe it's just stress."
Why do you seem so distant these days?,"If we push hard, we definitely can."
Why didn't you call me back last night?,"Sure, let's go over the details."
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things."
Why didn't you call me back last night?,"If we push hard, we definitely can."
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit."
What are your plans for the weekend?,"I'm thinking of a road trip, actually."
Have you ever been to Paris?,I'd say start with something like Spanish.
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit."
What are your plans for the weekend?,"I'm thinking of a road trip, actually."
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things."
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually."
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit."
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.
"I heard you got a new job, how is it going?","I'm really sorry, something came up."
What's been bothering you lately?,I'd say start with something like Spanish.
What's been bothering you lately?,"I'm not sure, maybe it's just stress."
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually."
Can we talk about that project now?,It's challenging but rewarding.
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually."
Why didn't you call me back last night?,"I'm thinking of a road trip, actually."
Why do you seem so distant these days?,"I'm thinking of a road trip, actually."
Why didn't you call me back last night?,"I'm really sorry, something came up."
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit."
Have you ever been to Paris?,I'd say start with something like Spanish.
What are your plans for the weekend?,"If we push hard, we definitely can."
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit."
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.
What are your plans for the weekend?,I'd say start with something like Spanish.
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit."
Why didn't you call me back last night?,"If we push hard, we definitely can."
Why do you seem so distant these days?,I'd say start with something like Spanish.
What are your plans for the weekend?,"I'm thinking of a road trip, actually."
