Question,Response,Emotion,Dialogue Act,Conversation Type
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",anger,directive,relationship
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",fear,inform,health
Why didn't you call me back last night?,"If we push hard, we definitely can.",surprise,commissive,culture & education
Why didn't you call me back last night?,"Sure, let's go over the details.",disgust,question,attitude & emotion
Can we talk about that project now?,I'd say start with something like Spanish.,fear,inform,work
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",fear,directive,health
Why do you seem so distant these days?,I'd say start with something like Spanish.,anger,commissive,relationship
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually.",fear,inform,attitude & emotion
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",fear,directive,school life
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress.",anger,inform,work
What are your plans for the weekend?,"I'm not sure, maybe it's just stress.",disgust,question,culture & education
Why do you seem so distant these days?,"If we push hard, we definitely can.",fear,inform,school life
Why didn't you call me back last night?,"Sure, let's go over the details.",happiness,question,finance
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things.",sadness,directive,attitude & emotion
Why didn't you call me back last night?,"If we push hard, we definitely can.",disgust,inform,tourism
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",happiness,directive,relationship
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",happiness,commissive,tourism
Have you ever been to Paris?,I'd say start with something like Spanish.,disgust,commissive,politics
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit.",surprise,commissive,work
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",happiness,inform,school life
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",disgust,inform,tourism
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",happiness,question,relationship
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,disgust,commissive,school life
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",happiness,inform,finance
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.,surprise,question,work
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",sadness,commissive,work
What's been bothering you lately?,I'd say start with something like Spanish.,surprise,commissive,health
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",fear,question,culture & education
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",sadness,commissive,finance
Can we talk about that project now?,It's challenging but rewarding.,happiness,question,health
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,sadness,question,relationship
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually.",surprise,inform,politics
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",sadness,directive,ordinary life
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",disgust,commissive,culture & education
Why didn't you call me back last night?,"I'm really sorry, something came up.",fear,inform,health
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit.",anger,inform,health
Have you ever been to Paris?,I'd say start with something like Spanish.,anger,commissive,culture & education
What are your plans for the weekend?,"If we push hard, we definitely can.",fear,commissive,work
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",disgust,directive,relationship
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.,fear,directive,politics
What are your plans for the weekend?,I'd say start with something like Spanish.,surprise,directive,work
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",fear,inform,school life
Why didn't you call me back last night?,"If we push hard, we definitely can.",anger,directive,school life
Why do you seem so distant these days?,I'd say start with something like Spanish.,happiness,directive,culture & education
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",fear,directive,politics
What are your plans for the weekend?,"I'm not sure, maybe it's just stress.",fear,commissive,health
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",happiness,inform,attitude & emotion
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",anger,directive,tourism
Can we talk about that project now?,"I'm really sorry, something came up.",surprise,directive,health
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",happiness,directive,politics
Can we talk about that project now?,"If we push hard, we definitely can.",anger,directive,health
Why do you seem so distant these days?,"If we push hard, we definitely can.",anger,directive,relationship
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",anger,directive,culture & education
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress.",disgust,question,health
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",disgust,directive,ordinary life
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",fear,commissive,health
Why didn't you call me back last night?,It's challenging but rewarding.,disgust,commissive,culture & education
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",anger,directive,relationship
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",happiness,question,school life
Why didn't you call me back last night?,"If we push hard, we definitely can.",disgust,inform,work
